iter	Logloss
0	0.6707612498
1	0.6539716716
2	0.6090820596
3	0.5702752212
4	0.545762584
5	0.5225130766
6	0.5006580601
7	0.4751522908
8	0.4444161214
9	0.4196506736
10	0.3806842741
11	0.3715454053
12	0.3576812422
13	0.3370696438
14	0.3261607419
15	0.3189008583
16	0.3071978117
17	0.2996947216
18	0.2970489247
19	0.291753361
20	0.2828350252
21	0.2789122655
22	0.2641692789
23	0.2606180233
24	0.2552777444
25	0.2487051121
26	0.2450900625
27	0.2405130531
28	0.2379204578
29	0.2339996615
30	0.2321802849
31	0.2289107389
32	0.2274259565
33	0.2267483371
34	0.2252234476
35	0.2242225146
36	0.2235962041
37	0.2229059887
38	0.2213894922
39	0.2209804148
40	0.2192878828
41	0.2181945717
42	0.2178774393
43	0.2169833278
44	0.2161422104
45	0.2157776659
46	0.2155186444
47	0.21445615
48	0.2142214733
49	0.2137822068
50	0.2135435448
51	0.2133606976
52	0.2132187995
53	0.2128138801
54	0.2120682408
55	0.211379099
56	0.2112330357
57	0.2101721152
58	0.2094504658
59	0.2088346867
60	0.20871537
61	0.2077750092
62	0.207214723
63	0.2071086234
64	0.2068563746
65	0.2067568598
66	0.2066582597
67	0.2065768037
68	0.2058568213
69	0.2057697229
70	0.2050302472
71	0.2049324024
72	0.2042285967
73	0.2041020364
74	0.2039804184
75	0.2038838678
76	0.2037849104
77	0.2036802574
78	0.2036123133
79	0.2035147207
80	0.2023452791
81	0.2018348005
82	0.2017614914
83	0.2001735759
84	0.2000448039
85	0.1997976342
86	0.1997350055
87	0.1996908296
88	0.1996412009
89	0.1990931256
90	0.1990450782
91	0.1985877245
92	0.1983455062
93	0.1980019099
94	0.1979371923
95	0.19736687
96	0.1973147816
97	0.1972646346
98	0.1972239811
99	0.1971679616
100	0.197116383
101	0.1970661411
102	0.1968463629
103	0.1967936949
104	0.196744349
105	0.1965372701
106	0.1964917597
107	0.1961674761
108	0.1961242448
109	0.1958277515
110	0.1955499156
111	0.1955034595
112	0.1950936185
113	0.1949509969
114	0.1948364826
115	0.1947894381
116	0.1944116235
117	0.1943462821
118	0.1940001713
119	0.1939400723
120	0.1930449786
121	0.1929889524
122	0.1929422594
123	0.192551092
124	0.1922912061
125	0.1919698772
126	0.1919209922
127	0.1917082349
128	0.1913257856
129	0.1912860644
130	0.1910861893
131	0.191054254
132	0.1909597332
133	0.1905364926
134	0.1903213252
135	0.1902740792
136	0.1902270813
137	0.1900020079
138	0.189956033
139	0.1899156
140	0.1898799648
141	0.1898389576
142	0.1897920058
143	0.1896987214
144	0.1895668342
145	0.18952344
146	0.1894897116
147	0.1894456129
148	0.1894068511
149	0.1893630666
150	0.1891732163
151	0.1890931724
152	0.1885916591
153	0.1885561299
154	0.1884304292
155	0.1883924844
156	0.1883494687
157	0.1883095714
158	0.1880863431
159	0.1880588428
160	0.1880228831
161	0.1879924925
162	0.1879547159
163	0.187916066
164	0.1878613865
165	0.1878200022
166	0.1877438643
167	0.1877122973
168	0.1876902344
169	0.1876711051
170	0.1876369912
171	0.1876083734
172	0.1875727823
173	0.1875400765
174	0.1873076187
175	0.1872729565
176	0.1870952262
177	0.1870646171
178	0.1869829655
179	0.1869497408
180	0.1869181605
181	0.1868877609
182	0.1867968593
183	0.186763793
184	0.1864327196
185	0.1863936929
186	0.1863540416
187	0.1863125495
188	0.1862788651
189	0.1862463403
190	0.1861169394
191	0.1860754431
192	0.1860414961
193	0.1860064839
194	0.1859805329
195	0.1857423928
196	0.185686686
197	0.185661885
198	0.1856336318
199	0.1855987272
200	0.1855619278
201	0.1854387607
202	0.1854206375
203	0.1852443533
204	0.1852182835
205	0.1851889616
206	0.1851592689
207	0.1851237418
208	0.185095517
209	0.1850673659
210	0.1849801576
211	0.1849642674
212	0.1848848525
213	0.1848593832
214	0.1848204033
215	0.1847946993
216	0.1847594358
217	0.1847325732
218	0.1846885561
219	0.1846570262
220	0.1846187544
221	0.1845795983
222	0.1845578671
223	0.1845355111
224	0.1845061102
225	0.1844778643
226	0.1844422603
227	0.1844141461
228	0.1843870913
229	0.1843512573
230	0.1843179254
231	0.1842916859
232	0.1842648644
233	0.1842289373
234	0.1841929023
235	0.18415942
236	0.1841345113
237	0.1838831342
238	0.1838525805
239	0.1838195692
240	0.1837861118
241	0.1837581881
242	0.183734128
243	0.1836947116
244	0.1836766133
245	0.183642226
246	0.1836204504
247	0.1835948494
248	0.183534339
249	0.1835117593
250	0.1833818532
251	0.1833538678
252	0.1833251066
253	0.1832951209
254	0.1832760105
255	0.1832509449
256	0.183214908
257	0.1831821467
258	0.1831519986
259	0.1831216017
260	0.183091796
261	0.1827953128
262	0.1827661506
263	0.1826587461
264	0.1826175247
265	0.1825885645
266	0.1825584804
267	0.1825402777
268	0.1825080931
269	0.1824800631
270	0.1824544871
271	0.1824270372
272	0.1824064194
273	0.1823752537
274	0.1823428636
275	0.1823136535
276	0.1822908086
277	0.1822539244
278	0.1822121424
279	0.1821925238
280	0.1820501981
281	0.1820239147
282	0.181986943
283	0.1819549965
284	0.1818036013
285	0.1817834238
286	0.1817485922
287	0.1817192882
288	0.1816794778
289	0.1816473308
290	0.1816173646
291	0.1815823709
292	0.1815692678
293	0.1815423215
294	0.1815112426
295	0.181485987
296	0.1814552144
297	0.1814263309
298	0.1813986219
299	0.1813751853
300	0.1812695005
301	0.1812435784
302	0.1812214123
303	0.1812003343
304	0.1811748186
305	0.1811556932
306	0.1811267087
307	0.1810751026
308	0.1810589016
309	0.1810342511
310	0.1810073309
311	0.1809786058
312	0.1809512666
313	0.1809201117
314	0.1808992444
315	0.1808428546
316	0.1808153541
317	0.1807829448
318	0.1806899666
319	0.1806517445
320	0.1806226725
321	0.180604636
322	0.1805769427
323	0.1805468479
324	0.180475401
325	0.1804058486
326	0.1803755371
327	0.1803451586
328	0.1803187889
329	0.1802987721
330	0.1802735941
331	0.1802351685
332	0.1802087703
333	0.1801742446
334	0.1801483452
335	0.1800187308
336	0.1799900344
337	0.1799761793
338	0.1799558808
339	0.1799399286
340	0.1799197654
341	0.1799000911
342	0.1798733443
343	0.1798496462
344	0.1798281927
345	0.179804095
346	0.1797742911
347	0.1797467223
348	0.1797241165
349	0.179696403
350	0.1796686103
351	0.1796299062
352	0.1796001994
353	0.1795752332
354	0.1795554272
355	0.1795329617
356	0.1795204816
357	0.1795046116
358	0.1794701209
359	0.1794485057
360	0.179424946
361	0.1793589136
362	0.1793361923
363	0.1793102909
364	0.1792955859
365	0.1792444784
366	0.1792266744
367	0.1792025537
368	0.1791722202
369	0.1791487506
370	0.1791237724
371	0.1790941478
372	0.1787976754
373	0.1787785474
374	0.1786849381
375	0.1786568269
376	0.1786328384
377	0.178600151
378	0.1785747718
379	0.1785418397
380	0.1783616357
381	0.178342076
382	0.1783123692
383	0.1782874543
384	0.1782579802
385	0.1782247414
386	0.1780933968
387	0.1780660443
388	0.1779601071
389	0.1779371954
390	0.1779143785
391	0.1778899566
392	0.1778635084
393	0.1778120857
394	0.1777903007
395	0.1777645347
396	0.1777466638
397	0.1776652691
398	0.1776421636
399	0.1776141552
400	0.1775205336
401	0.1774941936
402	0.1773636209
403	0.1773458532
404	0.1773199806
405	0.1772995502
406	0.1772702457
407	0.1772478167
408	0.1772117283
409	0.1771932822
410	0.1771166131
411	0.1770966117
412	0.1770777094
413	0.1770579942
414	0.1770367815
415	0.1770161664
416	0.1769972517
417	0.1769736454
418	0.1768730535
419	0.1768469504
420	0.176821028
421	0.1767404687
422	0.1767143731
423	0.1766917216
424	0.1766620605
425	0.1766328427
426	0.1766061196
427	0.1765320868
428	0.1764424136
429	0.1764157113
430	0.1763886577
431	0.1763570447
432	0.176332077
433	0.1763027351
434	0.1762815607
435	0.1762328425
436	0.1762171624
437	0.1761936552
438	0.176165519
439	0.1761397178
440	0.1761163234
441	0.176093438
442	0.1760706688
443	0.1760409767
444	0.1760210507
445	0.1759538545
446	0.1759274566
447	0.1759021349
448	0.1758836258
449	0.1758682999
450	0.1758470614
451	0.1758249683
452	0.175805009
453	0.1757403738
454	0.1757179597
455	0.1756910177
456	0.175671165
457	0.1756535251
458	0.1756238187
459	0.1756057358
460	0.1755878625
461	0.175565422
462	0.1755478239
463	0.1755226703
464	0.1755043407
465	0.1754246635
466	0.1754032809
467	0.1753855672
468	0.1753571946
469	0.175332874
470	0.175303806
471	0.1752794542
472	0.1752516957
473	0.1752310957
474	0.175216229
475	0.1751939252
476	0.1751659468
477	0.1751516098
478	0.1751232968
479	0.175097166
480	0.1750704726
481	0.1750483158
482	0.1749849642
483	0.1749643072
484	0.1749042841
485	0.1748694935
486	0.1748462384
487	0.174825969
488	0.1747743462
489	0.1747393476
490	0.1747010363
491	0.1746826311
492	0.1746581648
493	0.1746413295
494	0.1746168921
495	0.1746011037
496	0.1745771779
497	0.1745534583
498	0.174527521
499	0.1745009458
500	0.1744870066
501	0.1744611308
502	0.1744306291
503	0.174403935
504	0.1743704523
505	0.1743471649
506	0.1743269801
507	0.1743068283
508	0.1742863286
509	0.1742590851
510	0.1742416576
511	0.1742257351
512	0.1742019354
513	0.174181247
514	0.1741640602
515	0.1741407115
516	0.1741139562
517	0.1740880609
518	0.1740692428
519	0.1740428854
520	0.1740230927
521	0.1740028655
522	0.1739866355
523	0.1739661604
524	0.1739450606
525	0.1739224488
526	0.1738840451
527	0.1738497012
528	0.1738199049
529	0.1737990175
530	0.1737833437
531	0.1737633848
532	0.1736819789
533	0.1736516416
534	0.1736257576
535	0.173600133
536	0.1735888303
537	0.1735647811
538	0.1735441539
539	0.1735309934
540	0.1735076265
541	0.1734885225
542	0.1734671956
543	0.1734226146
544	0.1733952165
545	0.173371817
546	0.1733561302
547	0.1733360633
548	0.1733114092
549	0.1732919222
550	0.1732630296
551	0.1732409623
552	0.173220974
553	0.1731881069
554	0.1731696358
555	0.1731493046
556	0.1731169416
557	0.1731009351
558	0.1730796204
559	0.1730579008
560	0.1730202633
561	0.173003706
562	0.1729895559
563	0.1729514729
564	0.1728840165
565	0.1728625469
566	0.1728394446
567	0.1728192123
568	0.1728019081
569	0.17277322
570	0.1727587541
571	0.17272738
572	0.172696681
573	0.172669719
574	0.1726541494
575	0.1726276495
576	0.1726033608
577	0.1725753565
578	0.1725619074
579	0.1725357476
580	0.1725072373
581	0.1724447289
582	0.1724164675
583	0.1724036556
584	0.1723790369
585	0.1723532472
586	0.1723270104
587	0.1722981915
588	0.1722766363
589	0.1722503487
590	0.1722333376
591	0.1722131689
592	0.1721953866
593	0.1721679357
594	0.1721394615
595	0.1721197079
596	0.1720958177
597	0.172078804
598	0.1720550299
599	0.1720100754
600	0.1719863333
601	0.1719326113
602	0.1719076336
603	0.1718212193
604	0.1717983601
605	0.1717773109
606	0.1717570023
607	0.1717315585
608	0.1717119088
609	0.1716873817
610	0.1716672117
611	0.1716416625
612	0.1716183667
613	0.1715915954
614	0.1715685232
615	0.1715473641
616	0.1714567629
617	0.1714155966
618	0.1713865634
619	0.1713713786
620	0.1713444829
621	0.1713221002
622	0.1712929411
623	0.1712679086
624	0.1712484989
625	0.1712273932
626	0.1712161904
627	0.1712015424
628	0.1711801705
629	0.1711635701
630	0.1711422111
631	0.171115439
632	0.171089272
633	0.1710726766
634	0.1710549676
635	0.1710294389
636	0.1710056475
637	0.1709837695
638	0.1709600187
639	0.1709427406
640	0.1709256477
641	0.1709042216
642	0.1708758549
643	0.1708579027
644	0.1708379372
645	0.1708146619
646	0.1707949934
647	0.170770968
648	0.1707466367
649	0.1707304054
650	0.1707131842
651	0.1706962945
652	0.1706788853
653	0.1706496289
654	0.1706247367
655	0.170597159
656	0.1705741018
657	0.1705559531
658	0.1705346217
659	0.1705107225
660	0.1704823615
661	0.1704534956
662	0.1704261081
663	0.1704015074
664	0.1703831312
665	0.1703620514
666	0.1703348115
667	0.1703170091
668	0.1703021168
669	0.1702801651
670	0.1702608803
671	0.1702461757
672	0.1702288592
673	0.1702121198
674	0.170195702
675	0.1701694916
676	0.170085748
677	0.1700525203
678	0.1700322015
679	0.1700149575
680	0.1699879467
681	0.1699663927
682	0.1699425015
683	0.1699216728
684	0.1699059183
685	0.1698881981
686	0.1698598458
687	0.1698375867
688	0.1698175093
689	0.1697157183
690	0.1697009326
691	0.1696796134
692	0.169664774
693	0.1696408406
694	0.1696249333
695	0.1695881943
696	0.1695738183
697	0.1695476804
698	0.1695270995
699	0.1695113265
700	0.1694721501
701	0.1694433254
702	0.1694224254
703	0.1694038693
704	0.1693795537
705	0.1693604649
706	0.1693368185
707	0.169313848
708	0.1692918797
709	0.1692688598
710	0.1692367221
711	0.1692115225
712	0.1691843068
713	0.1691672915
714	0.1691517732
715	0.169123729
716	0.1691045701
717	0.169082719
718	0.1690565511
719	0.1690375775
720	0.1690198149
721	0.1689991652
722	0.1689579125
723	0.1689316529
724	0.1689051083
725	0.1688785741
726	0.1688665528
727	0.1688541838
728	0.1688295888
729	0.1687963836
730	0.1687679731
731	0.1687436117
732	0.1687185352
733	0.1687041285
734	0.1686835264
735	0.1686527251
736	0.1686258256
737	0.1686054983
738	0.1685802663
739	0.1685613353
740	0.1685312986
741	0.168499051
742	0.1684740288
743	0.1684475813
744	0.168420693
745	0.1684025122
746	0.1683787217
747	0.168354484
748	0.1683348054
749	0.1683170073
750	0.1682957348
751	0.1682672325
752	0.1682518898
753	0.168230586
754	0.1682087187
755	0.1681965911
756	0.1681751083
757	0.1681108108
758	0.1680913134
759	0.1680702627
760	0.1680550976
761	0.1680315798
762	0.1680072459
763	0.1679845787
764	0.1679598794
765	0.167941554
766	0.1679219041
767	0.1679006768
768	0.1678811919
769	0.1678674687
770	0.1678455555
771	0.1678154615
772	0.1677961658
773	0.1677749637
774	0.1677510459
775	0.1677326098
776	0.1677109764
777	0.1676893653
778	0.1676668406
779	0.1676448145
780	0.1676241591
781	0.1676025724
782	0.1675844991
783	0.1675563671
784	0.1675333249
785	0.1675126349
786	0.1674940459
787	0.1674746273
788	0.1674594938
789	0.1674398918
790	0.1674258617
791	0.1674124686
792	0.1673933236
793	0.167316172
794	0.1672915576
795	0.1672663909
796	0.1672495611
797	0.1672239447
798	0.1672036767
799	0.1671772115
800	0.1671521576
801	0.1671329781
802	0.167101455
803	0.1670804302
804	0.1670637687
805	0.1670500578
806	0.1670340324
807	0.1670082583
808	0.1669857202
809	0.1669613274
810	0.1669426528
811	0.1669086496
812	0.1668825587
813	0.1668492749
814	0.166831484
815	0.1668055248
816	0.1667871287
817	0.1667708451
818	0.1667472893
819	0.1667100759
820	0.1666805041
821	0.1666210006
822	0.1665670773
823	0.1665514306
824	0.1665390046
825	0.1665176042
826	0.1664978825
827	0.1664806066
828	0.1664618829
829	0.1664439497
